kol_id,channel,num_video,avg_play,max_play,min_play,std_play,followers_count,avg_comment,avg_share,avg_collect,avg_post_score,interaction_rate,vol_play,z_avg_post_score,z_vol_play,influence_potential_score
000100ae-f680-4d1b-aa67-5a4ba4e18e2a,tiktok,36,131403.55555555556,3327333.0,489.0,574524.6969284359,4765,56.416666666666664,1795.7777777777778,1081.611111111111,210381.25925925927,0.1011792506905971,5.790602245275452,0.4873821462441231,1.3425237299246644,3.014354326849248
0003a45e-63b5-4b27-aa76-011e20a378d0,tiktok,18,461008.3888888889,4245816.0,173.0,1150157.43599209,13900,303.46153846153845,1293.6470588235295,9447.764705882353,876408.3333333334,0.07632577897337724,3.6913581281486394,3.0669040989552547,-1.3225755087230129,3.831793933427965
00052f63-bc87-462f-9039-3389f67c8a95,tiktok,35,1134.142857142857,7715.0,329.0,1410.3100231312753,1147,5.2,3.0555555555555554,6.34375,1972.4705882352941,0.1169482731178788,5.237146357083284,-0.3197848090365133,0.639882786828994,2.1254904341268346
00054f67-f224-47f1-aaab-d7a37ecee579,tiktok,34,7520.911764705882,91679.0,501.0,18068.514878126243,6149,68.38235294117646,132.07692307692307,149.92857142857142,13611.625,0.10903916680159419,5.046236539915085,-0.2747063798181802,0.39751287651970163,2.5977861482969966
0005c3f0-c3c2-4118-97bc-e60def37c47a,instagram,10,15923.3,64633.0,0.0,21457.551429378993,47694,35.2,18.2,0.0,18390.9,0.060105696591222134,3.012133057805774,-0.2561962542385519,-2.1848869488611746,2.698329233065259
0006979b-a005-4df1-95d0-410df5be44d8,instagram,30,19582.333333333332,255673.0,2883.0,46830.9323199317,22531,59.0,99.9,0.0,21542.666666666668,0.05482879441895384,5.397927982151449,-0.24398946622202505,0.8440033953193398,3.083495312021334
0006a9d9-2848-428e-9d22-c4d2e0f5fefc,tiktok,3,24519.333333333332,71633.0,444.0,40804.926569390285,27500,1.3333333333333333,11.5,43.0,37624.0,0.035369728622637445,1.74461777008569,-0.18170648407769102,-3.794063318925535,2.2386350094350456
0007c464-b15c-4ee5-9c94-7e2dc6543d6e,instagram,30,2828.0333333333333,9328.0,513.0,2332.952081086038,6116,15.733333333333333,21.266666666666666,0.0,3105.7,0.035912165146786,3.7784745222441227,-0.31539581306488734,-1.211976730008618,2.25068566305977
000a44c0-537d-4f88-8bcf-632e5f77013d,tiktok,30,9166.366666666667,130685.0,207.0,24981.089466432106,11900,11.466666666666667,11.5,29.266666666666666,10323.766666666666,0.07086512864886711,5.2230708422596015,-0.2874402506747489,0.6220131910377658,2.831826363557272
000bd5f7-518c-4f8e-9fb0-63004c2789c0,tiktok,30,40335.13333333333,943424.0,962.0,171602.051249241,1537,21.433333333333334,659.9666666666667,275.2,56586.333333333336,0.0884210327094706,5.492137146024754,-0.1082653928488391,0.9636068129799885,2.3597287537470857
