kol_id,influence_potential_score,rank
d7f116e3-475e-47de-b1e8-13625ad7a870,7.601726164345887,1
9cdc7270-3dcb-466f-8139-bbb6797f091b,5.551516618621357,2
2700eb0b-7817-4b9e-a9c2-4278e5e597fd,5.362762753471778,3
5c12cdc9-9ff5-44b9-abf4-248535e5c139,5.042638034154637,4
069ebe9c-399e-4e28-a751-3735b816a1ca,5.016898292431561,5
20d1a1b3-9ffd-432c-8aef-b14029e6e2e4,4.9997969358618874,6
3e2fe2fe-f127-4105-9235-5b5cb3753554,4.995459650721178,7
ed075f32-aef2-45a1-b30f-4590cd6f0baf,4.953698396461992,8
d555dacd-c315-422c-92a0-f0a43582de9a,4.949137437554964,9
0cfb3ce1-162b-4e1a-94ba-f2a8e9f20cd1,4.943956478459215,10
2f53441f-b1f2-488d-93b9-5088ea048a6e,4.886708422947342,11
1e8bfe0e-b45b-4de7-9d23-6dff03ec4add,4.8403138407300785,12
abbf9fb2-8099-435c-801a-a3f6fe82a4b5,4.821911992117559,13
286e13d2-bdcb-4b3f-8e9a-fea52b45eef1,4.813912975458654,14
4699feb3-f82f-4fed-9f50-197ba835840e,4.700887187612282,15
9dde8e73-accf-4a73-bed4-5d909bdc5b7a,4.67291429814296,16
042e7f35-0881-4213-8934-6f0cc15e4186,4.656659362434591,17
b7b4b3e0-9137-4200-b5a5-f78523e977dd,4.6216287402120155,18
e665f4b4-62b3-4feb-be67-d66c1a880b49,4.604769234464642,19
1dc4947d-ba71-4a11-aeaf-e3063df5f5d8,4.5133282249281015,20
7974701f-aa05-4aaa-a081-aed583150625,4.490754782685385,21
9f68ac47-21c4-461d-841e-07c004269ae7,4.472992196885487,22
3843ea18-6dfa-476c-aa45-ad917e7b4caf,4.402539764016962,23
0ef4afe9-f379-47ab-948c-6cd335f4880d,4.390521157001132,24
6dfa49a3-0c7c-4c94-b038-fc74b8dc17d4,4.350089713436454,25
6ee2b94d-5a00-4314-82dc-3773e2cb11f3,4.304460472332694,26
e1e4b004-49ae-48dd-8971-049c498d0569,4.300681240097898,27
6e3f6374-afc0-4645-b455-5f3e44bffbe7,4.237883030204633,28
23f99692-fa0d-40e7-a1b6-3fa2926d2860,4.215713950411995,29
99ba30d7-8328-4dcf-a2d2-f957509a41f5,4.213519715418176,30
fc2382dd-4e3b-4cfe-a476-fdf069a427b5,4.191301748483249,31
1ae23881-cce8-47e7-913f-1e0b553a9cbc,4.187287111051584,32
7cd8ec6c-3fe7-4718-91df-589228decf67,4.173415271663967,33
4c72d819-9472-4497-ac13-acf1b40149e6,4.172723803883262,34
fa9ec7da-3608-495f-a6bb-d9dab846a7a5,4.149119616635143,35
0e813581-d9a4-4f7e-9aad-8185a284fa13,4.127568810312603,36
9514c7f8-cf0d-4229-806f-e93b8495a806,4.11996609980792,37
c82d7753-c088-4d4a-a51c-4b5ab35ef9eb,4.095971043959369,38
632fbe64-02f4-4e1e-b498-e9b1ff5039bd,4.081750194634994,39
7c2ab22a-e22c-4059-b23b-ff739e44abff,4.046727784979873,40
ca31995c-01f3-4133-a82f-cdc1918da7db,4.044771218479697,41
32aac458-28a9-4354-b63a-af49bf4eb562,4.044100939957021,42
8b07960e-eeff-4d40-a578-62dc38ca4373,4.0317911658594765,43
61248c7b-6c8b-41a2-b982-97282108be3d,4.030749946141591,44
36cf539d-d19e-4cba-8998-3a29a3f6580d,4.021117214517859,45
e5ad57e6-aaa4-4317-8829-46acadfb1665,4.020225383566664,46
c75a504d-efd1-4f83-9078-52d621485ee0,4.011681498004609,47
77a58e57-28c9-4e8a-ab45-4eea9b9032ce,4.011220336945225,48
9e2f2b87-3aa1-4158-9cd6-43761f23154e,4.009248816802246,49
7e418cc6-f71a-4605-aa78-cbf28fc552e0,4.009071415121953,50
5e47e747-8a68-4cf4-931d-96fb227bf93e,3.986026696856055,51
9979f8dd-e0a2-4460-954b-1fa353ab7986,3.9763431618589076,52
7d2c2a0c-2297-4e63-b6b1-ca94b3d24fef,3.9574442616051884,53
2911bb74-36c8-4b61-8b70-f329ab9dbdd0,3.9345955571192524,54
a8492b0e-1c7d-4cfb-b103-71f05f7b6c60,3.934275056325541,55
aab7848a-be88-47e3-b8d0-65ee1013cfa1,3.927868696169918,56
1f54d2dd-df0e-4198-9923-84d93b08d33e,3.920892591825539,57
fe3b150e-11d0-4285-92ec-e9d29cd533a5,3.9199533945645997,58
26cc7402-0d77-49d4-904e-439ae13362a2,3.9195652506338634,59
ad94edde-9f03-4daf-a415-b36758a52aaf,3.9178656373862792,60
3f761f7b-3d56-48cb-becf-ef2c7e05cf97,3.917450813055608,61
dc5b0f0b-c114-4a5e-88a6-2954994f3f6d,3.917288863494561,62
917eeb5b-aa2f-4a36-9757-65b8fd809309,3.912667819053896,63
386d6c87-108c-4920-b597-f333e360b770,3.895207661581672,64
7337474b-a26e-49bb-ad39-190e6372de15,3.886083455361241,65
42ea19e0-c6bc-4fb3-a19b-a94b037cca2f,3.8817788197944396,66
f68b04a2-41c0-4567-9c16-1e3bd2d993ce,3.865967856725846,67
d9ef03d0-4bfb-4325-b208-8ee5ea463963,3.862760410880544,68
183b056d-8f76-477b-abf9-c5fc29d26c98,3.8622961075631186,69
a6e24b1a-85c6-41c9-9fd6-50fc6ce39b7c,3.8610247209336026,70
eabb8dfd-1e01-427e-86e0-e95d9131fc05,3.856407759104714,71
82b21304-fc84-4789-8286-fcb2b4017f17,3.8460425692632363,72
fc3e8576-bbd6-4df7-bed1-01f5b918f486,3.84415726694869,73
9fc5b6b9-2bcf-4097-a8cc-391f7d158bc1,3.8376827561319424,74
051ffe64-4063-46fe-8f62-c15d22360737,3.83655143958158,75
31e4d2ea-8bc7-4c76-95cc-0f6c36bfc578,3.8362086836657503,76
cff223ef-1bbc-4e96-bc46-773a52815111,3.835828244153611,77
f5edc1e5-5532-41d5-a6e2-1a5d01639b77,3.8331997330987466,78
a1b8cf84-96b5-490f-b47e-331c4bba2d25,3.833100305477245,79
ad82fbda-5785-4edf-bac1-9db335d0ae30,3.8323611184516135,80
1394cfac-55a3-42e5-a9fa-101b6573c7b7,3.8050061484494817,81
ba6c78ec-28fd-4094-add9-372578f2d8a8,3.7998623636133537,82
1c751fb8-f649-4fe1-bddd-e2b5af01a633,3.7875724552791143,83
f641d922-3b14-4df7-ab4d-7a4ac1abdaf1,3.781904487414297,84
bf491907-8254-4ada-a140-7a8154ff26bd,3.7800622748676487,85
9cc00936-5644-4fec-ab21-d1e6914eedd7,3.779587928623716,86
61e02dc5-5cc1-4ad8-a5ca-4dbc09c02538,3.778749050730519,87
ac3871de-b4f9-4712-a445-706f615bd6b6,3.7727380704641655,88
d4a1ac46-3432-4ea9-be46-e0bc3d7a3339,3.7655610814776344,89
c9d7a634-efde-4c77-b345-51dd4825a7f6,3.7627446357305274,90
19888b21-6fbb-4f5a-898f-93ba54b0b639,3.759732749834249,91
d2bc3caa-7ab3-4cf0-ae74-46d079bf7540,3.757159321565539,92
1d4c3d07-74f9-476b-bb10-b1dc48215b63,3.7541864633109743,93
c33305e1-3620-43ba-bd11-5782d4fdecd1,3.744421310707121,94
717e1f23-17d1-4420-8e83-b91320048826,3.7398542778891373,95
343b8554-96f5-488f-bb41-b282a73df532,3.729020969853351,96
0315ae9d-1705-4072-a8d9-fd880560f115,3.7275139548037197,97
2baaa762-6750-48a2-a446-967987ffded4,3.7274003399748166,98
8d1e44e8-275b-4a53-928f-fec7e08339df,3.7202031025765083,99
a40ab794-d5e7-4992-b6d2-8ee00c2a304e,3.7198236441627794,100
ea0f0945-aa34-4e24-8719-d88e638f8e89,3.7044231912785848,101
dec43a97-4681-470d-8f7b-359ff5261312,3.702005349223585,102
a953efbb-2cae-490e-8e0a-f1289d567ff3,3.700121863822603,103
23d4cb76-5fca-4fff-8559-bf468d7f38e3,3.6939617471592867,104
0d6eee53-f296-4903-a993-1eb4028faff9,3.6919115623074816,105
c1e3df79-fe9b-4b1a-baaa-3270e3b37a1c,3.6879482726686095,106
0e61b6a7-11ca-41ab-b5d4-304053ac7130,3.6866785732880536,107
58fc7aea-075c-4266-9b53-693075a5557e,3.6866174780870598,108
249c4b34-a7fa-455e-8997-52f5675fc682,3.6838309605661355,109
db72d124-2d8b-4e08-b69f-7ff28df1346d,3.6742484418029733,110
a2ab91d3-5c47-4c1b-85bd-deca271f21d3,3.672956333869216,111
d56554d9-3cbd-4e8d-88a9-4b434b4c9716,3.6702735197874063,112
43f3bdf3-2db5-49cb-bc60-7ebc7ab6bedc,3.666786026441632,113
e41282af-2624-407d-8a36-6128b6cd2d71,3.6664141679290405,114
99bfb931-0871-446d-8e83-35207f540d88,3.663435034067902,115
93102d51-0d63-41fb-8196-faeef1dd7d48,3.663247034171866,116
50ea561b-4289-4fc4-b2fa-f2981a29f3de,3.6625421737128825,117
6fdc0664-9a02-4408-9e73-a94b973f5d05,3.6616437341318586,118
5d48f3d8-37af-4195-bba0-7e070d50e512,3.6611877883605817,119
48965780-5a44-400d-a26d-5d701ecceb51,3.657546638537424,120
741f2a98-610d-4216-b84f-60fa24677a75,3.655408812371559,121
a30dc3b4-36d1-4469-adeb-1b683f9d12fd,3.6530934652822302,122
52211a2f-80ea-4885-8b23-46912946eadc,3.6523983455703233,123
e7adc60e-20ae-4108-940e-30a4563bc397,3.6517792879596334,124
25282d56-0a02-4d3e-9f57-7d0f53ac492d,3.6454202308109056,125
b1fd6a1d-756e-423b-9b88-331c1cea61c6,3.642398765240913,126
960e5514-56ec-4819-a75e-5a13bda77a82,3.638326548909082,127
dd983c72-8b16-4c02-80d0-3c592ec472a1,3.6339643059729587,128
a7f312aa-14e8-4690-8010-e26fe681d914,3.6304024629734566,129
66770d7a-b11e-447b-b2a5-468c0bc45209,3.6299103751964195,130
